POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,SHAPE_AREA,SHAPE_LEN,zipcodenum,PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,ADONA,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType,ZIPCODE
"1581",WESTBOROUGH,NON UNIQUE,WESTBOROUGH,"75050","WESTBOROUGH, TOWN OF",WORCESTER,21.43603003,55519062.9024,35117.9395549,"1581",MA2328000,WESTBOROUGH WATER DEPARTMENT,L,"1",Hopkinton Road Well,GW,"19378",Entry Point to Dist. System,EP,,,2024/01/22 00:00:00,35855442001SE2,PFOA,0.004,µg/L,EPA 533,=,0.004,SE2,AM,"1",MA,,"1581"
"1826",DRACUT,NON UNIQUE,DRACUT,"17510","DRACUT, TOWN OF",MIDDLESEX,21.21241407,54939900.237,53869.17174,"1826",MA3160000,LOWELL REGIONAL WATER UTILITY,L,"5",Lowell WTP,SW,"1414",Entry Point to Dist. System,EP,,,2023/09/18 00:00:00,810-78194-1,PFOA,0.004,µg/L,EPA 533,=,0.0046,SE3,AM,"1",MA,,"1826"
"1520",HOLDEN,NON UNIQUE,HOLDEN,"30525","HOLDEN, TOWN OF",WORCESTER,20.31804137,52623485.5603,33573.9436053,"1520",MA2134000,"HOLDEN WATER DIVISION, DPW",L,"1",Spring Street Well,GW,"19984",Entry Point to Dist. System,EP,,,2023/09/12 00:00:00,810-77463-1,PFOA,0.004,µg/L,EPA 533,=,0.0041,SE2,AM,"1",MA,,"1520"
"2093",WRENTHAM,NON UNIQUE,WRENTHAM,"82280","WRENTHAM, TOWN OF",NORFOLK,22.57749138,58475434.2167,38835.8120968,"2093",MA4350000,WRENTHAM WATER DIVISION,L,"20003",Treatment Plant #5,GW,EP3,Finished Water Tap (TP #5 -230 Elysium St.),EP,,,2023/08/17 00:00:00,810-74523-1,PFOA,0.004,µg/L,EPA 533,=,0.0043,SE1,AM,"1",MA,,"2093"
"2359",PEMBROKE,NON UNIQUE,PEMBROKE,"52595","PEMBROKE, TOWN OF",PLYMOUTH,23.46689056,60778967.5355,44067.3216276,"2359",MA4118000,HALIFAX WATER DEPARTMENT,S,411800002G,Well #2 Richmond Park,GW,"10001",Well #2 Richmond Park,EP,,,2024/01/10 00:00:00,111972P,PFOA,0.004,µg/L,EPA 533,=,0.0046,SE1,AM,"1",MA,,"2359"
"2777",SWANSEA,NON UNIQUE,SWANSEA,"68715","SWANSEA, TOWN OF",BRISTOL,22.98649468,59534747.9049,70204.0384834,"2777",MA4292000,SWANSEA WATER DISTRICT,L,"8",Hornbine Well 8,GU,"2204",Entry Point from Hornbine Treatment,EP,,,2023/10/30 00:00:00,810-83196-1,PFOA,0.004,µg/L,EPA 533,=,0.0044,SE4,AM,"1",MA,,"2777"
"1886",WESTFORD,NON UNIQUE,WESTFORD,"76100","WESTFORD, TOWN OF",MIDDLESEX,31.42984805,81402932.7458,37523.629026,"1886",MA3330000,WESTFORD WATER DEPARTMENT,L,"27",Forge Village WTP,GU,"19405",Entry Point to Dist. System,EP,,,2023/10/10 00:00:00,810-81221-1,PFOA,0.004,µg/L,EPA 533,=,0.0045,SE4,AM,"1",MA,,"1886"
"1852",LOWELL,NON UNIQUE,LOWELL,"37000",LOWELL,MIDDLESEX,4.98826343,12919542.9728,30463.6966149,"1852",MA3160000,LOWELL REGIONAL WATER UTILITY,L,"5",Lowell WTP,SW,"1414",Entry Point to Dist. System,EP,,,2023/09/18 00:00:00,810-78194-1,PFOA,0.004,µg/L,EPA 533,=,0.0046,SE3,AM,"1",MA,,"1852"
"2021",CANTON,NON UNIQUE,CANTON,"11350","CANTON, TOWN OF",NORFOLK,19.02226963,49268389.0574,33245.174329,"2021",MA4050000,CANTON WATER DEPT,L,"10015",Pecunit St. TP,GW,EP002,Entry Point to Dist. System,EP,,,2024/01/08 00:00:00,35852662003SE1,PFOA,0.004,µg/L,EPA 533,=,0.0045,SE1,AM,"1",MA,,"2021"
"2630",BARNSTABLE,NON UNIQUE,BARNSTABLE,"03600",BARNSTABLE,BARNSTABLE,4.29315241,11119213.7029,22463.1771171,"2630",MA4020000,BARNSTABLE FIRE DISTRICT,S,402000002G,GP WELL # 2,GW,"10008",WELL #2 AND WELL #5,EP,,,2023/02/07 00:00:00,101003P,PFOA,0.004,µg/L,EPA 533,=,0.0044,SE1,AM,"1",MA,,"2630"
"2081",WALPOLE,NON UNIQUE,WALPOLE,"72460","WALPOLE, TOWN OF",NORFOLK,17.88059135,46310519.005,40922.0225963,"2081",MA4307000,WALPOLE WATER DEPT,L,"58",Edward J. Delaney WTP,GW,"10355",Entry Point to Dist. System,EP,,,2024/02/07 00:00:00,L2406618-01,PFOA,0.004,µg/L,EPA 533,=,0.004,SE2,AM,"1",MA,,"2081"
"1879",TYNGSBORO,NON UNIQUE,TYNGSBORO,"70955","TYNGSBOROUGH, TOWN OF",MIDDLESEX,17.63680648,45679119.0718,60994.0314751,"1879",MA3301000,TYNGSBOROUGH WATER DISTRICT,S,330100002P,LOWELL REGIONAL WATER UTILITY PWS,SW,02P,PAWTUCKET BLVD P.S. (LOWELL METER),EP,,,2023/08/07 00:00:00,106668P,PFOA,0.004,µg/L,EPA 533,=,0.0046,SE3,AM,"1",MA,,"1879"
