POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,FacilityName,CITY_TOWN,COUNTY,AREA_SQMI,zipcodenum,PWSID,PWSName,Size,FacilityID,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,ADONA,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,Full Address,Latitude,Longitude,UCMR1SampleType,ZIPCODE
1247,NORTH ADAMS,NON UNIQUE,NORTH ADAMS,46225,North Adams WTF,NORTH ADAMS,BERKSHIRE,47.15753286,1247,MA1209000,NORTH ADAMS WATER DEPT,L,10046,SW,EP1,351 pattison rd (clearwell),EP,,,2023/05/18 0:00:00,M3D0632-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0059,SE1,AM,1,MA,North Adams WTF NORTH ADAMS 1247 MA ,42.700915,-73.1087148,,1247
1742,CONCORD,NON UNIQUE,CONCORD,15025,2nd Division GP Well (05G),"CONCORD, TOWN OF",MIDDLESEX,25.6396045,1742,MA3067000,"CONCORD WATER DEPT, MA",L,90003,GW,10519,Entry Point to Dist. System,EP,,,2024/02/12 0:00:00,810-93653-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0059,SE1,AM,1,MA,"2nd Division GP Well (05G) CONCORD, TOWN OF 1742 MA ",42.4603719,-71.3489484,,1742
1473,WESTMINSTER,NON UNIQUE,WESTMINSTER,76975,Regional Filtration Plant,"WESTMINSTER, TOWN OF",WORCESTER,36.87329445,1473,MA2097000,"FITCHBURG DPW, DIV. OF WATER SUPPLY",L,90001,SW,MULT4,Entry Point to Dist. System,EP,,,2024/03/06 0:00:00,M4B0860-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0049,SE1,AM,1,MA,"Regional Filtration Plant WESTMINSTER, TOWN OF 1473 MA ",42.5580692,-71.8927076,,1473
1581,WESTBOROUGH,NON UNIQUE,WESTBOROUGH,75050,Hopkinton Road Well,"WESTBOROUGH, TOWN OF",WORCESTER,21.43603003,1581,MA2328000,WESTBOROUGH WATER DEPARTMENT,L,1,GW,19378,Entry Point to Dist. System,EP,,,2024/01/22 0:00:00,35855442001SE2,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.004,SE2,AM,1,MA,"Hopkinton Road Well WESTBOROUGH, TOWN OF 1581 MA ",42.2571683,-71.5970596,,1581
1826,DRACUT,NON UNIQUE,DRACUT,17510,Lowell WTP,"DRACUT, TOWN OF",MIDDLESEX,21.21241407,1826,MA3160000,LOWELL REGIONAL WATER UTILITY,L,5,SW,1414,Entry Point to Dist. System,EP,,,2023/09/18 0:00:00,810-78194-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0046,SE3,AM,1,MA,"Lowell WTP DRACUT, TOWN OF 1826 MA ",42.6705383,-71.3000493,,1826
2061,NORWELL,NON UNIQUE,NORWELL,50110,Treatment Plant,"NORWELL, TOWN OF",PLYMOUTH,21.06930915,2061,MA4264000,SCITUATE WATER DIVISION,L,23,SW,2159,Entry Point to Dist. System,EP,,,2023/11/16 0:00:00,810-85505-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0053,SE4,AM,1,MA,"Treatment Plant NORWELL, TOWN OF 2061 MA ",42.1615157,-70.7927832,,2061
1520,HOLDEN,NON UNIQUE,HOLDEN,30525,Spring Street Well,"HOLDEN, TOWN OF",WORCESTER,20.31804137,1520,MA2134000,"HOLDEN WATER DIVISION, DPW",L,1,GW,19984,Entry Point to Dist. System,EP,,,2023/09/12 0:00:00,810-77463-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0041,SE2,AM,1,MA,"Spring Street Well HOLDEN, TOWN OF 1520 MA ",42.3688088,-71.8825597,,1520
1720,ACTON,NON UNIQUE,ACTON,345,2nd Division GP Well (05G),"ACTON, TOWN OF",MIDDLESEX,19.99217641,1720,MA3067000,"CONCORD WATER DEPT, MA",L,90003,GW,10519,Entry Point to Dist. System,EP,,,2024/02/12 0:00:00,810-93653-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0059,SE1,AM,1,MA,"2nd Division GP Well (05G) ACTON, TOWN OF 1720 MA ",42.4072107,-71.3824374,,1720
2093,WRENTHAM,NON UNIQUE,WRENTHAM,82280,Treatment Plant #5,"WRENTHAM, TOWN OF",NORFOLK,22.57749138,2093,MA4350000,WRENTHAM WATER DIVISION,L,20003,GW,EP3,Finished Water Tap (TP #5 -230 Elysium St.),EP,,,2023/08/17 0:00:00,810-74523-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0043,SE1,AM,1,MA,"Treatment Plant #5 WRENTHAM, TOWN OF 2093 MA ",42.0484051,-71.3468091,,2093
2359,PEMBROKE,NON UNIQUE,PEMBROKE,52595,Well #2 Richmond Park,"PEMBROKE, TOWN OF",PLYMOUTH,23.46689056,2359,MA4118000,HALIFAX WATER DEPARTMENT,S,411800002G,GW,10001,Well #2 Richmond Park,EP,,,2024/01/10 0:00:00,111972P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0046,SE1,AM,1,MA,"Well #2 Richmond Park PEMBROKE, TOWN OF 2359 MA ",42.0714925,-70.8092,,2359
1463,PEPPERELL,NON UNIQUE,PEPPERELL,52770,JERSEY STREET GRAVEL PACKED WELL,"PEPPERELL, TOWN OF",MIDDLESEX,23.43765186,1463,MA2232000,PEPPERELL DPW WATER DIVISION,S,223200003G,GW,03G,TREATED: JERSEY STREET,EP,,,2023/09/19 0:00:00,107792P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0098,SE2,AM,1,MA,"JERSEY STREET GRAVEL PACKED WELL PEPPERELL, TOWN OF 1463 MA ",42.6664257,-71.5792827,,1463
2777,SWANSEA,NON UNIQUE,SWANSEA,68715,Hornbine Well 8,"SWANSEA, TOWN OF",BRISTOL,22.98649468,2777,MA4292000,SWANSEA WATER DISTRICT,L,8,GU,2204,Entry Point from Hornbine Treatment,EP,,,2023/10/30 0:00:00,810-83196-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0044,SE4,AM,1,MA,"Hornbine Well 8 SWANSEA, TOWN OF 2777 MA ",41.7941089,-71.2007853,,2777
1886,WESTFORD,NON UNIQUE,WESTFORD,76100,Forge Village WTP,"WESTFORD, TOWN OF",MIDDLESEX,31.42984805,1886,MA3330000,WESTFORD WATER DEPARTMENT,L,27,GU,19405,Entry Point to Dist. System,EP,,,2023/10/10 0:00:00,810-81221-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0045,SE4,AM,1,MA,"Forge Village WTP WESTFORD, TOWN OF 1886 MA ",42.5804956,-71.4871264,,1886
