POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,zipcodenum,PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,ADONA,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType,ZIPCODE
"1247",NORTH ADAMS,NON UNIQUE,NORTH ADAMS,"46225",NORTH ADAMS,BERKSHIRE,47.15753286,"1247",MA1209000,NORTH ADAMS WATER DEPT,L,"10046",North Adams WTF,SW,EP1,351 pattison rd (clearwell),EP,,,2023/05/18 00:00:00,M3D0632-01,PFOA,0.004,µg/L,EPA 533,=,0.0059,SE1,AM,"1",MA,,"1247"
"1742",CONCORD,NON UNIQUE,CONCORD,"15025","CONCORD, TOWN OF",MIDDLESEX,25.6396045,"1742",MA3067000,"CONCORD WATER DEPT, MA",L,"90003",2nd Division GP Well (05G),GW,"10519",Entry Point to Dist. System,EP,,,2024/02/12 00:00:00,810-93653-1,PFOA,0.004,µg/L,EPA 533,=,0.0059,SE1,AM,"1",MA,,"1742"
"1473",WESTMINSTER,NON UNIQUE,WESTMINSTER,"76975","WESTMINSTER, TOWN OF",WORCESTER,36.87329445,"1473",MA2097000,"FITCHBURG DPW, DIV. OF WATER SUPPLY",L,"90001",Regional Filtration Plant,SW,MULT4,Entry Point to Dist. System,EP,,,2024/03/06 00:00:00,M4B0860-01,PFOA,0.004,µg/L,EPA 533,=,0.0049,SE1,AM,"1",MA,,"1473"
"1581",WESTBOROUGH,NON UNIQUE,WESTBOROUGH,"75050","WESTBOROUGH, TOWN OF",WORCESTER,21.43603003,"1581",MA2328000,WESTBOROUGH WATER DEPARTMENT,L,"1",Hopkinton Road Well,GW,"19378",Entry Point to Dist. System,EP,,,2024/01/22 00:00:00,35855442001SE2,PFOA,0.004,µg/L,EPA 533,=,0.004,SE2,AM,"1",MA,,"1581"
"1826",DRACUT,NON UNIQUE,DRACUT,"17510","DRACUT, TOWN OF",MIDDLESEX,21.21241407,"1826",MA3160000,LOWELL REGIONAL WATER UTILITY,L,"5",Lowell WTP,SW,"1414",Entry Point to Dist. System,EP,,,2023/09/18 00:00:00,810-78194-1,PFOA,0.004,µg/L,EPA 533,=,0.0046,SE3,AM,"1",MA,,"1826"
"2061",NORWELL,NON UNIQUE,NORWELL,"50110","NORWELL, TOWN OF",PLYMOUTH,21.06930915,"2061",MA4264000,SCITUATE WATER DIVISION,L,"23",Treatment Plant,SW,"2159",Entry Point to Dist. System,EP,,,2023/11/16 00:00:00,810-85505-1,PFOA,0.004,µg/L,EPA 533,=,0.0053,SE4,AM,"1",MA,,"2061"
"1520",HOLDEN,NON UNIQUE,HOLDEN,"30525","HOLDEN, TOWN OF",WORCESTER,20.31804137,"1520",MA2134000,"HOLDEN WATER DIVISION, DPW",L,"1",Spring Street Well,GW,"19984",Entry Point to Dist. System,EP,,,2023/09/12 00:00:00,810-77463-1,PFOA,0.004,µg/L,EPA 533,=,0.0041,SE2,AM,"1",MA,,"1520"
"1720",ACTON,NON UNIQUE,ACTON,"00345","ACTON, TOWN OF",MIDDLESEX,19.99217641,"1720",MA3067000,"CONCORD WATER DEPT, MA",L,"90003",2nd Division GP Well (05G),GW,"10519",Entry Point to Dist. System,EP,,,2024/02/12 00:00:00,810-93653-1,PFOA,0.004,µg/L,EPA 533,=,0.0059,SE1,AM,"1",MA,,"1720"
"2093",WRENTHAM,NON UNIQUE,WRENTHAM,"82280","WRENTHAM, TOWN OF",NORFOLK,22.57749138,"2093",MA4350000,WRENTHAM WATER DIVISION,L,"20003",Treatment Plant #5,GW,EP3,Finished Water Tap (TP #5 -230 Elysium St.),EP,,,2023/08/17 00:00:00,810-74523-1,PFOA,0.004,µg/L,EPA 533,=,0.0043,SE1,AM,"1",MA,,"2093"
"2359",PEMBROKE,NON UNIQUE,PEMBROKE,"52595","PEMBROKE, TOWN OF",PLYMOUTH,23.46689056,"2359",MA4118000,HALIFAX WATER DEPARTMENT,S,411800002G,Well #2 Richmond Park,GW,"10001",Well #2 Richmond Park,EP,,,2024/01/10 00:00:00,111972P,PFOA,0.004,µg/L,EPA 533,=,0.0046,SE1,AM,"1",MA,,"2359"
