POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,zipcodenum,PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,ADONA,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType,ZIPCODE
"1581",WESTBOROUGH,NON UNIQUE,WESTBOROUGH,"75050","WESTBOROUGH, TOWN OF",WORCESTER,21.43603003,"1581",MA2328000,WESTBOROUGH WATER DEPARTMENT,L,"27",Oak Street WTF,GW,"22947",Entry Point to Dist. System,EP,,,2023/05/16 00:00:00,35800406009SE1,PFOS,0.004,µg/L,EPA 533,=,0.0075,SE1,AM,"1",MA,,"1581"
"2061",NORWELL,NON UNIQUE,NORWELL,"50110","NORWELL, TOWN OF",PLYMOUTH,21.06930915,"2061",MA4219000,NORWELL WATER DEPARTMENT,L,"22",South Street TF,GW,SSTF1,Lab Sink Treated Water Sample Tap,EP,,,2023/09/20 00:00:00,810-78566-1,PFOS,0.004,µg/L,EPA 533,=,0.0184,SE1,AM,"1",MA,,"2061"
"1720",ACTON,NON UNIQUE,ACTON,"00345","ACTON, TOWN OF",MIDDLESEX,19.99217641,"1720",MA2002000,ACTON WATER SUPPLY DISTRICT,L,"32",South Acton WTP,GU,MULT14,Entry Point to the Distribution System,EP,,,2023/12/06 00:00:00,810-87135-1,PFOS,0.004,µg/L,EPA 533,=,0.0047,SE4,AM,"1",MA,,"1720"
"2093",WRENTHAM,NON UNIQUE,WRENTHAM,"82280","WRENTHAM, TOWN OF",NORFOLK,22.57749138,"2093",MA4350000,WRENTHAM WATER DIVISION,L,"20002",Treatment Plant #4,GW,EP2,Finished Water Tap (395 Thurston St.),EP,,,2023/08/17 00:00:00,810-74516-1,PFOS,0.004,µg/L,EPA 533,=,0.0044,SE1,AM,"1",MA,,"2093"
"1463",PEPPERELL,NON UNIQUE,PEPPERELL,"52770","PEPPERELL, TOWN OF",MIDDLESEX,23.43765186,"1463",MA2232000,PEPPERELL DPW WATER DIVISION,S,223200003G,JERSEY STREET GRAVEL PACKED WELL,GW,03G,TREATED: JERSEY STREET,EP,,,2023/09/19 00:00:00,107792P,PFOS,0.004,µg/L,EPA 533,=,0.0064,SE2,AM,"1",MA,,"1463"
"1886",WESTFORD,NON UNIQUE,WESTFORD,"76100","WESTFORD, TOWN OF",MIDDLESEX,31.42984805,"1886",MA3330000,WESTFORD WATER DEPARTMENT,L,"25",Nutting Road WTP,GU,"19402",Entry Point to Dist. System,EP,,,2023/07/11 00:00:00,810-69220-1,PFOS,0.004,µg/L,EPA 533,=,0.0043,SE3,AM,"1",MA,,"1886"
"2324",BRIDGEWATER,NON UNIQUE,BRIDGEWATER,"08050","BRIDGEWATER, TOWN OF",PLYMOUTH,28.40630877,"2324",MA4042000,BRIDGEWATER WATER DEPARTMENT,L,"23","Wells #1, #2, #4 & #5 CPTP",GW,"21952",Entry Point to Dist. System,EP,,,2023/12/13 00:00:00,L2373633-03,PFOS,0.004,µg/L,EPA 533,=,0.007,SE2,AM,"1",MA,,"2324"
"2332",DUXBURY,NON UNIQUE,DUXBURY,"17860","DUXBURY, TOWN OF",PLYMOUTH,23.58936801,"2332",MA4018000,TOWN OF AVON,S,401800002T,PORTER WELL,GW,"10005",PORTER WELL,EP,,,2023/11/08 00:00:00,109539P,PFOS,0.004,µg/L,EPA 533,=,0.006,SE2,AM,"1",MA,,"2332"
"1776",SUDBURY,NON UNIQUE,SUDBURY,"68225","SUDBURY, TOWN OF",MIDDLESEX,24.72143642,"1776",MA2174000,"MAYNARD DPW, WATER DIVISION",L,"10001",Old Marlboro Road WTP,GW,EP01,Entry Point to Dist. System,EP,,,2023/12/04 00:00:00,M3K0554-01,PFOS,0.004,µg/L,EPA 533,=,0.0042,SE1,AM,"1",MA,,"1776"
"1754",MAYNARD,NON UNIQUE,MAYNARD,"39660","MAYNARD, TOWN OF",MIDDLESEX,5.3755576,"1754",MA2174000,"MAYNARD DPW, WATER DIVISION",L,"10001",Old Marlboro Road WTP,GW,EP01,Entry Point to Dist. System,EP,,,2023/12/04 00:00:00,M3K0554-01,PFOS,0.004,µg/L,EPA 533,=,0.0042,SE1,AM,"1",MA,,"1754"
